x;cos;sin;tan
-1024;512;-4;-6
-1023;512;3;6
-1022;511;6;12
-1021;511;9;18
-1020;511;12;25
-1019;511;15;31
-1018;511;18;37
-1017;511;21;43
-1016;511;25;50
-1015;511;28;56
-1014;511;31;62
-1013;511;34;69
-1012;510;37;75
-1011;510;40;81
-1010;510;43;88
-1009;510;47;94
-1008;509;50;100
-1007;509;53;107
-1006;509;56;113
-1005;508;59;119
-1004;508;62;126
-1003;508;65;132
-1002;507;68;138
-1001;507;72;145
-1000;506;75;151
-999;506;78;158
-998;505;81;164
-997;505;84;171
-996;504;87;177
-995;504;90;183
-994;503;93;190
-993;503;96;196
-992;502;99;203
-991;502;102;209
-990;501;106;216
-989;500;109;223
-988;500;112;229
-987;499;115;236
-986;498;118;242
-985;498;121;249
-984;497;124;256
-983;496;127;262
-982;495;130;269
-981;495;133;276
-980;494;136;282
-979;493;139;289
-978;492;142;296
-977;491;145;303
-976;490;148;310
-975;489;151;316
-974;489;154;323
-973;488;157;330
-972;487;160;337
-971;486;163;344
-970;485;166;351
-969;484;169;358
-968;483;172;365
-967;482;175;372
-966;481;178;379
-965;479;181;386
-964;478;184;394
-963;477;187;401
-962;476;190;408
-961;475;193;415
-960;474;195;423
-959;473;198;430
-958;471;201;437
-957;470;204;445
-956;469;207;452
-955;468;210;460
-954;466;213;467
-953;465;216;475
-952;464;218;482
-951;462;221;490
-950;461;224;498
-949;460;227;506
-948;458;230;513
-947;457;233;521
-946;455;235;529
-945;454;238;537
-944;453;241;545
-943;451;244;553
-942;450;246;561
-941;448;249;569
-940;447;252;578
-939;445;255;586
-938;443;257;594
-937;442;260;603
-936;440;263;611
-935;439;265;620
-934;437;268;628
-933;435;271;637
-932;434;273;645
-931;432;276;654
-930;430;279;663
-929;429;281;672
-928;427;284;681
-927;425;287;690
-926;423;289;699
-925;422;292;708
-924;420;294;718
-923;418;297;727
-922;416;299;736
-921;414;302;746
-920;413;305;756
-919;411;307;765
-918;409;310;775
-917;407;312;785
-916;405;315;795
-915;403;317;805
-914;401;319;815
-913;399;322;825
-912;397;324;836
-911;395;327;846
-910;393;329;857
-909;391;332;867
-908;389;334;878
-907;387;336;889
-906;385;339;900
-905;383;341;911
-904;381;343;923
-903;379;346;934
-902;377;348;945
-901;375;350;957
-900;372;353;969
-899;370;355;981
-898;368;357;993
-897;366;359;1005
-896;364;362;1017
-895;362;364;1030
-894;359;366;1042
-893;357;368;1055
-892;355;370;1068
-891;353;372;1081
-890;350;375;1095
-889;348;377;1108
-888;346;379;1122
-887;343;381;1136
-886;341;383;1150
-885;339;385;1164
-884;336;387;1178
-883;334;389;1193
-882;332;391;1208
-881;329;393;1223
-880;327;395;1238
-879;324;397;1253
-878;322;399;1269
-877;319;401;1285
-876;317;403;1301
-875;315;405;1318
-874;312;407;1335
-873;310;409;1352
-872;307;411;1369
-871;305;413;1386
-870;302;414;1404
-869;299;416;1423
-868;297;418;1441
